Neighborhood,Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Lot Size (Sq.Ft.),Finished Size (Sq.Ft.),Sale Amount,Sale Amt 1-Week Change,Sale Amt Minimum,Sale Amt Maximum,Sale-to-Finished Size Ratio,Rent Amount,Rent Amt 1-Week Change,Rent Amt Minimum,Rent Amt Maximum,Rent-to-Finished Size Ratio,Sale-to-Rent Ratio,Tax Assessment Year,Tax Assessment Amt,Year Built,Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,ZPID
Carrick,213 Cedarcove St,Pittsburgh,PA,15227,40.388902,-79.973298,SingleFamily,7140,936,110867,11720,104215,116410,118.45,1069,53,716,1422,1.14,103.71,2015,63700,1954,2,3,5,9/25/07,94,105400,11645736
Carrick,2440 Edgar St,Pittsburgh,PA,15210,40.385847,-79.982304,SingleFamily,4510,1276,89622,-1490,84245,95896,70.24,919,5,800,1351,0.72,97.52,2015,67200,1950,1,3,6,3/1/89,316,44000,11645840
Overbrook,2147 Fairland St,Pittsburgh,PA,15210,40.389872,-79.994414,SingleFamily,3750,1144,96768,8348,89027,102574,84.59,1059,27,752,1271,0.93,91.38,2015,72200,1926,2,3,6,6/2/09,73,82900,11647431
Carrick,140 Eiler Ave,Pittsburgh,PA,15210,40.391016,-79.983899,SingleFamily,5200,1276,68918,14675,63405,73742,54.01,871,3,758,1359,0.68,79.13,2015,69900,1950,1.5,3,6,3/8/07,100,50000,11647622
Overbrook,16 Jacob St,Pittsburgh,PA,15234,40.385938,-79.997298,SingleFamily,4455,842,53590,976,42336,62700,63.65,828,0,704,1101,0.98,64.72,2015,54200,1900,1,2,4,,,,11648085
Brookline,1126 Milan Ave,Pittsburgh,PA,15226,40.393619,-80.013477,SingleFamily,3600,864,76361,-3417,64907,89342,88.38,862,5,741,1129,1,88.59,2015,62700,1925,1,2,6,4/17/02,159,49900,11648906
Brookline,1227 Brookline Blvd,Pittsburgh,PA,15226,40.392473,-80.011648,SingleFamily,3150,1860,105006,5770,97656,113406,56.45,1070,30,738,1455,0.58,98.14,2015,85800,1925,2,3,7,12/1/84,367,37500,11649076
Brookline,1403 Brookline Blvd,Pittsburgh,PA,15226,40.392566,-80.009166,SingleFamily,3150,1392,84563,-668,76952,93019,60.75,974,40,692,1237,0.7,86.82,2015,75000,1920,2,2,6,6/29/01,169,55000,11649099
Brookline,1320 Milan Ave,Pittsburgh,PA,15226,40.393633,-80.009575,SingleFamily,4444,1242,101689,2232,95588,109824,81.88,1080,45,745,1296,0.87,94.16,2015,83800,1955,1.5,2,6,6/20/06,109,90000,11649142
Brookline,2417 Hobson Ave,Pittsburgh,PA,15226,40.388818,-80.009699,SingleFamily,4800,1536,127925,-736,120249,135601,83.28,1163,13,907,1454,0.76,110,2015,95000,1930,1,3,6,12/31/07,91,59000,11650023
Brookline,1614 Rockford Ave,Pittsburgh,PA,15226,40.385077,-80.012179,SingleFamily,7500,1094,99622,1838,91652,108588,91.06,1050,81,704,1313,0.96,94.88,2015,83200,1940,1.5,4,6,9/15/77,454,30900,11650289
Brookline,535 Fordham Ave,Pittsburgh,PA,15226,40.393451,-80.025286,SingleFamily,5311,2109,145700,285,132587,158813,69.08,1430,99,844,1945,0.68,101.89,2015,131400,1918,2,4,6,5/13/03,146,74500,11652712
Brookline,616 Woodbourne Ave,Pittsburgh,PA,15226,40.393676,-80.023609,SingleFamily,3600,1144,95775,-4248,85240,107268,83.72,1096,-15,855,1392,0.96,87.39,2015,103200,1948,1,3,6,3/11/11,52,75000,11652775
Brookline,916 Rossmore Ave,Pittsburgh,PA,15226,40.393804,-80.017323,SingleFamily,3300,2184,138313,3155,128631,146612,63.33,1184,35,876,1598,0.54,116.82,2015,110500,1929,1,4,6,11/14/14,8,46000,11653026
Brookline,936 Fordham Ave,Pittsburgh,PA,15226,40.389729,-80.021292,SingleFamily,3600,1623,124457,-188,110767,138147,76.68,1218,29,962,1681,0.75,102.18,2015,92800,1920,2,3,6,8/30/06,107,89999,11653283
Brookline,803 Norwich Ave,Pittsburgh,PA,15226,40.391293,-80.024163,SingleFamily,3600,1218,87001,5168,80911,95701,71.43,994,17,785,1243,0.82,87.53,2015,75200,1928,1,3,5,8/26/09,71,73000,11653322
Brookline,851 Fordham Ave,Pittsburgh,PA,15226,40.390969,-80.022174,SingleFamily,3600,1303,91617,3652,85204,97114,70.31,976,41,761,1220,0.75,93.87,2015,79000,1924,1,3,6,10/6/05,117,78000,11653446
Southside Flats,2250 Mary St APT 110,Pittsburgh,PA,15203,40.425542,-79.97472,Condominium,1230,1535,283766,-27086,263902,300792,184.86,2144,-37,1651,2787,1.4,132.35,2015,202000,1950,1,1,5,6/13/06,109,219000,54623809
Squirrel Hill South,1104 Crescent Pl,Pittsburgh,PA,15217,40.423259,-79.912542,SingleFamily,3484,2276,496453,-5357,461701,546098,218.13,2787,-208,2508,3344,1.22,178.13,2015,348500,2002,2.5,3,5,10/24/05,117,395000,58629164
Southside Flats,2250 Mary St APT 103,Pittsburgh,PA,15203,40.425581,-79.974543,Condominium,1135,1600,285804,-18902,268656,302952,178.63,2124,61,1699,2655,1.33,134.56,2015,209500,2001,2,1,7,7/16/02,156,105900,58729872
Squirrel Hill South,1336 Fairstead Ln,Pittsburgh,PA,15217,40.420497,-79.915708,SingleFamily,3279,1964,487287,11608,443431,531143,248.11,2696,-96,1995,3235,1.37,180.74,2015,299500,2004,2.5,3,7,9/6/12,34,445000,72261385
Shadyside,5570 Centre Ave APT 101,Pittsburgh,PA,15232,40.455936,-79.934722,Condominium,1308,1308,334065,7487,314021,350768,255.4,2265,-5,1721,2809,1.73,147.49,2015,229800,2006,2,2,4,6/6/08,85,273000,87802108
Squirrel Hill South,1554 Overton Ln,Pittsburgh,PA,15217,40.418699,-79.917721,SingleFamily,3729,1742,400775,-3993,364705,440852,230.07,2505,18,1102,3006,1.44,159.99,2015,331500,2008,2.5,3,7,9/3/08,82,357200,87802121
Duquesne Heights,224 Hallock St,Pittsburgh,PA,15211,40.434176,-80.018515,Townhouse,2670,1536,220528,14377,196270,242581,143.57,1743,-11,1482,2214,1.13,126.52,2015,142500,2007,2.5,3,6,5/9/08,86,249900,87988964
Central Business District,301 5th Ave APT 520,Pittsburgh,PA,15222,40.44091,-79.999633,Condominium,1284,1284,487494,-8806,463119,511869,379.67,2545,-11,1451,3181,1.98,191.55,2015,362600,2009,2,2,4,7/31/09,72,391918,92380469
Central Business District,301 5th Ave APT 509,Pittsburgh,PA,15222,40.44091,-79.999633,Condominium,1054,1054,426551,-15999,400958,452144,404.7,1923,-24,1077,3077,1.82,221.82,2015,302400,2008,1,1,3,4/29/09,75,349781,92380541
Mount Washington,211 Bailey Ave,Pittsburgh,PA,15211,40.427142,-80.002885,SingleFamily,2066,2243,378357,-2113,359439,397275,168.68,2670,58,2083,3204,1.19,141.71,2015,268000,1950,2.5,4,8,11/29/10,56,299000,92380806
Bloomfield,115 Gross St,Pittsburgh,PA,15224,40.464817,-79.944038,Townhouse,930,1515,236655,3780,215356,248488,156.21,1769,92,1132,2264,1.17,133.78,2015,173700,2009,1.5,1,6,11/21/14,8,226000,104363430
Mount Washington,332 Merrimac St,Pittsburgh,PA,15211,40.430634,-80.014175,SingleFamily,5201,2277,220471,52528,194014,253542,96.83,1528,296,840,2109,0.67,144.29,2015,230000,1880,3.5,4,8,,,,121886464
Squirrel Hill South,1695 Biltmore Ln,Pittsburgh,PA,15217,40.418755,-79.920481,SingleFamily,5298,3392,749699,10876,674729,787184,221.02,3230,-132,2584,4425,0.95,232.1,2015,592400,2013,3.5,5,7,9/20/13,22,695731,121886682
Central Lawrenceville,4823 Blackberry Way,Pittsburgh,PA,15201,40.476674,-79.958214,SingleFamily,651,832,181908,18165,161898,196461,218.64,1284,68,835,1477,1.54,141.67,2015,163500,1911,1,2,6,10/11/12,33,163500,121887159
