Neighborhood,Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Lot Size (Sq.Ft.),Finished Size (Sq.Ft.),Sale Amount,Sale Amt 1-Week Change,Sale Amt Minimum,Sale Amt Maximum,Sale-to-Finished Size Ratio,Rent Amount,Rent Amt 1-Week Change,Rent Amt Minimum,Rent Amt Maximum,Rent-to-Finished Size Ratio,Sale-to-Rent Ratio,Tax Assessment Year,Tax Assessment Amt,Year Built,Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,ZPID
Point Breeze,217 S Lang Ave,Pittsburgh,PA,15208,40.448373,-79.904706,SingleFamily,4460,2460,476583,43449,414627,519475,193.73,2538,38,2030,3249,1.03,187.78,2015,225400,1963,3,4,7,,,,11287734
Point Breeze,7100 Card Ln,Pittsburgh,PA,15208,40.448937,-79.904381,SingleFamily,6400,2550,396904,15208,377059,424687,155.65,2381,12,1429,2857,0.93,166.7,2015,242300,1945,2,4,10,4/8/86,351,75000,11287738
Point Breeze,297 S Murtland St,Pittsburgh,PA,15208,40.448976,-79.906745,SingleFamily,36017,4546,809880,20037,745090,923263,178.15,3514,50,2530,4920,0.77,230.47,2015,486400,1950,6,5,10,11/5/75,476,132000,11287763
Point Breeze,121 S Lexington Ave,Pittsburgh,PA,15208,40.447842,-79.899453,SingleFamily,11565,2906,537286,-2540,483557,585642,184.89,3296,36,2538,4054,1.13,163.01,2015,405900,1915,3.5,5,10,7/15/08,84,410000,11287805
Point Breeze North,7223 Penn Ave,Pittsburgh,PA,15208,40.449139,-79.900415,SingleFamily,4520,2025,211575,25494,200996,222154,104.48,1574,146,1149,1999,0.78,134.42,2015,129800,1930,1.5,4,7,3/21/08,88,2901,11287810
Point Breeze,7044 Edgerton Ave,Pittsburgh,PA,15208,40.446212,-79.906807,SingleFamily,5250,1312,251975,-5592,236856,267094,192.05,1830,-36,1537,2233,1.39,137.69,2015,193700,1925,1,3,7,3/21/12,40,164000,11288145
Point Breeze,525 S Lang Ave,Pittsburgh,PA,15208,40.44546,-79.906115,SingleFamily,2500,1820,301493,-5851,280388,325612,165.66,2148,54,1697,2792,1.18,140.36,2015,187100,1915,1.5,4,6,,,,11288436
Squirrel Hill South,6621 Darlington Rd,Pittsburgh,PA,15217,40.435904,-79.912567,SingleFamily,5251,2352,476264,23429,438163,500077,202.49,2665,-124,2399,3624,1.13,178.71,2015,374900,1920,3,5,9,5/2/03,146,349000,11289423
Squirrel Hill South,6601 Darlington Rd,Pittsburgh,PA,15217,40.436278,-79.913159,SingleFamily,6461,2350,313883,-60838,279356,367243,133.57,2357,101,1626,2734,1,133.17,2015,250000,1930,3,5,8,3/4/75,484,41500,11289426
Squirrel Hill South,2415 Beechwood Blvd,Pittsburgh,PA,15217,40.43206,-79.914769,SingleFamily,8250,2125,384878,8448,361785,415668,181.12,2332,-90,1166,3055,1.1,165.04,2015,235800,1918,1.5,3,6,8/1/01,167,179000,11289690
Squirrel Hill South,18 Rosemont Ln,Pittsburgh,PA,15217,40.421781,-79.915952,SingleFamily,9615,2974,595584,-11309,553893,720657,200.26,3308,-34,2646,4300,1.11,180.04,2015,473700,1994,3.5,3,9,2/9/07,101,330000,11290004
Swisshelm Park,1236 Windermere Dr,Pittsburgh,PA,15218,40.422517,-79.902235,SingleFamily,12600,2011,327139,-3235,310782,343496,162.67,2241,27,1501,2913,1.11,145.98,2015,200000,1951,2,4,7,,,,11290108
Swisshelm Park,1218 Windermere Dr,Pittsburgh,PA,15218,40.422888,-79.902697,SingleFamily,6900,1948,315957,-2217,300159,331755,162.2,2362,66,1394,2882,1.21,133.77,2015,246200,1952,2.5,4,9,,,,11290111
Swisshelm Park,110 Homestead St,Pittsburgh,PA,15218,40.41927,-79.900443,SingleFamily,3840,1239,149706,1968,142221,157191,120.83,1346,84,902,1615,1.09,111.22,2015,156400,1920,2,2,5,8/9/01,167,55000,11290342
Southside Flats,28 S 17th St,Pittsburgh,PA,15203,40.431475,-79.981966,Townhouse,821,1720,393579,4536,366028,417194,228.83,2374,-41,973,3229,1.38,165.79,2015,282700,1999,2.5,2,6,12/28/07,91,320000,11290476
Southside Flats,1712 Fox Way,Pittsburgh,PA,15203,40.43005,-79.981325,SingleFamily,1200,2084,287110,9520,258399,321563,137.77,2025,20,1640,2774,0.97,141.78,2015,186800,1900,1.5,3,6,5/4/11,50,260000,11290548
Southside Flats,1817 Wharton St,Pittsburgh,PA,15203,40.430701,-79.979665,SingleFamily,945,1130,231494,8892,182880,287053,204.86,1741,36,1288,2281,1.54,132.97,2015,139500,1900,2,3,6,9/23/05,118,170000,11290620
Southside Flats,1806 Wharton St,Pittsburgh,PA,15203,40.430297,-79.980018,SingleFamily,2400,1232,218318,5321,192120,237967,177.21,1709,14,1316,2153,1.39,127.75,2015,154200,1890,2,2,6,12/4/06,103,149000,11290680
Southside Flats,1929 Sidney St,Pittsburgh,PA,15203,40.429698,-79.977926,SingleFamily,5000,2400,376314,33603,319867,455340,156.8,2400,57,1920,3072,1,156.8,2015,229700,1862,2,3,8,8/9/05,119,255000,11290824
Southside Flats,2321 Wrights Way,Pittsburgh,PA,15203,40.42886,-79.971986,SingleFamily,833,1092,180757,29291,164489,193410,165.53,1430,83,958,1902,1.31,126.4,2015,187500,1900,2,3,5,3/8/11,52,187500,11290879
Southside Flats,109 S 17th St,Pittsburgh,PA,15203,40.428121,-79.981948,SingleFamily,1440,2640,318561,4284,277148,356788,120.67,1932,145,1352,2570,0.73,164.89,2015,264200,1900,1,2,10,7/23/03,144,127200,11290953
Southside Flats,97 S 19th St,Pittsburgh,PA,15203,40.428295,-79.97898,SingleFamily,743,1644,232781,-2475,216486,244420,141.59,1821,109,1366,2276,1.11,127.83,2015,141800,1900,2,4,10,3/13/12,40,127000,11291140
